dataset,algorithm,goal,run,round,test_acc,test_auc,train_loss
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,28,0.9192093286295209,,0.19145466224753976
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,29,0.8409770285191069,,0.4361616303135652
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,30,0.8267848005816928,,0.42728921110562096
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,31,0.9615167102038618,,0.11417120542124282
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,32,0.9544071311232596,,0.11617621181523527
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,33,0.953787735976086,,0.11895060137877304
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,34,0.9725311717340371,,0.0746905905895141
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,35,0.938949182667708,,0.17123721909759473
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,36,0.9934559556189912,,0.03223948436554055
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,37,0.9205289095952387,,0.26202996196795586
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,38,0.9671989874235855,,0.09237098475612418
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,39,0.9724503810626667,,0.0881881694431275
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,40,0.9447391807825923,,0.15870118635887506
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,41,0.9656370344437563,,0.0938595914338345
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,42,0.8817493873374088,,0.41334207957594427
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,43,0.9682223359276115,,0.08874564750975002
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,44,0.9693264751030081,,0.08636353526022715
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,45,0.9342633237282202,,0.2000427905072029
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,46,0.9930789324859289,,0.026524773584185188
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,47,0.9534645732906041,,0.11768141450910213
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,48,0.9230334204077236,,0.2701550920170397
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,49,0.9620014542320847,,0.09790821552545317
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,50,0.9615167102038618,,0.10118011507236495
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,51,0.9245953733875528,,0.2695325288145104
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,52,0.9366062531979641,,0.16700799451129986
